Food,Land Use (m2/FU),"GHG Emissions (kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)","Acidifying Emissions (g SO2eq/FU, CML2 Baseline)","Eutrophying Emissions (g PO43-eq/FU, CML2 Baseline)",Freshwater Withdrawals (L/FU),Stress-Weighted Water Use (L/FU)
Wheat & Rye (Bread),3.9,1.6,13.4,7.2,648,33386
Maize (Meal),2.9,1.7,11.7,4,216,10863
Barley (Beer),1.1,1.2,6.6,2.3,17,696
Oatmeal,7.6,2.5,10.7,11.2,482,18786
Rice,2.8,4.5,27.2,35.1,2248,49576
Potatoes,0.9,0.5,3.9,3.5,59,2754
Cassava,1.8,1.3,3.4,0.7,0,0
Cane Sugar,2,3.2,18,16.9,620,16439
Beet Sugar,1.8,1.8,12.6,5.4,218,9493
Other Pulses,15.6,1.8,22.1,17.1,436,22477
Peas,7.5,1,8.5,7.5,397,27948
Nuts,13,0.4,45.2,19.2,4134,229890
Groundnuts,9.1,3.2,22.6,14.1,1852,61798
Soymilk,0.7,1,2.6,1.1,28,956
Tofu,3.5,3.2,6.7,6.2,149,5113
Soybean Oil,10.5,6.3,15.7,11.7,415,14888
Palm Oil,2.4,7.3,17.5,10.7,6,36
Sunflower Oil,17.7,3.6,28,50.7,1008,36369
Rapeseed Oil,10.6,3.8,28.5,19.2,238,10594
Olive Oil,26.3,5.4,37.6,37.3,2142,177480
Tomatoes,0.8,2.1,17.2,7.5,370,5336
Onions & Leeks,0.4,0.5,3.6,3.2,14,932
Root Vegetables,0.3,0.4,2.9,1.6,28,929
Brassicas,0.6,0.5,8.2,5,119,8455
Other Vegetables,0.4,0.5,6.4,2.3,103,4911
Citrus Fruit,0.9,0.4,4,2.2,83,4663
Bananas,1.9,0.9,6.4,3.3,115,662
Apples,0.6,0.4,3.5,1.5,180,12949
Berries & Grapes,2.4,1.5,12.3,6.1,420,21162
Wine,1.8,1.8,12.8,4.6,79,1149
Other Fruit,0.9,1.1,5.8,2.4,154,9533
Coffee,21.6,28.5,83.1,110.5,26,337
Dark Chocolate,69,46.7,46.3,87.1,541,2879
Bovine Meat (beef herd),326.2,99.5,318.8,301.4,1451,34733
Bovine Meat (dairy herd),43.2,33.3,343.6,365.3,2714,119805
Lamb & Mutton,369.8,39.7,139,97.1,1803,141925
Pig Meat,17.4,12.3,142.7,76.4,1796,66867
Poultry Meat,12.2,9.9,102.4,48.7,660,14178
Milk,9,3.2,20,10.7,628,19786
Cheese,87.8,23.9,165.5,98.4,5605,180851
Eggs,6.3,4.7,53.7,21.8,578,17983
Fish (farmed),8.4,13.6,65.9,235.1,3691,41572
Crustaceans (farmed),3,26.9,133.1,227.2,3515,127259
